status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
660933270687803_1339062739541516,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1339062739541516/?type=3,2017-06-30 05:36:46,142,1,24,77,1,0,64,0,0
660933270687803_1338816509566139,#the_kiwi_jedi,Star Wars The Last Jedi,photo,https://www.facebook.com/SWTLJ/photos/a.1434469386613792.1073741833.1332320606828671/1468276529899744/?type=3,2017-06-29 23:20:59,115,2,0,101,10,3,1,0,0
660933270687803_1338705212910602,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1338705212910602/?type=3,2017-06-29 20:34:48,65,3,14,42,3,2,18,0,0
660933270687803_1338409096273547,,Minibobafett,photo,https://www.facebook.com/minibobafett/photos/a.1416040231994808.1073741828.1415811665350998/1555433491388814/?type=3,2017-06-29 13:53:32,29,0,0,24,5,0,0,0,0
660933270687803_1338336772947446,Rey,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1338336772947446/?type=3,2017-06-29 12:18:30,83,4,4,67,13,2,1,0,0
660933270687803_1337068593074264,#the_kiwi_jedi,Star Wars - The Hobby,photo,https://www.facebook.com/starwarsthehobby/photos/a.878614418830400.1073741830.867094103315765/1726356754056158/?type=3,2017-06-28 16:44:59,81,2,0,58,1,0,21,1,0
660933270687803_1335759136538543,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1335759136538543/?type=3,2017-06-27 12:11:54,315,11,54,260,33,19,3,0,0
660933270687803_1335141899933600,#the_kiwi_jedi,Star Wars The Last Jedi,photo,https://www.facebook.com/SWTLJ/photos/a.1434469386613792.1073741833.1332320606828671/1464522133608517/?type=3,2017-06-26 23:00:32,159,3,0,144,13,2,0,0,0
660933270687803_1335058319941958,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1335058319941958/?type=3,2017-06-26 20:56:18,209,6,32,178,26,5,0,0,0
660933270687803_1334595986654858,,I am Addicted to Star Wars,video,https://www.facebook.com/Iamaddictedtostarwars/videos/693693134149070/,2017-06-26 09:36:24,514,13,0,430,66,13,0,5,0
